Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,1,12,13,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,13,13,26,14,1,1,6
2015,1,2,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,8,6,8,14,1,1,1
2015,3,6,3,14,1,3,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,2,1
2015,1,6,1,14,1,1,1
2015,1,6,0,14,1,1,1
2015,11,6,11,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,6,8,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,28,6,28,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,1,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,2,9,14,4,4,5
2015,3,6,3,14,2,1,2
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,3,6,3,14,1,3,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,6,7,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,2,2
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,95,6,95,14,1,1,1
2015,14,6,14,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,1
2015,1,1,2,14,1,1,2
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,8,6,8,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,14,1,1,1
2015,4,6,4,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,4,1,1,2
2015,4,6,4,14,1,1,3
2015,18,6,18,14,4,1,10
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,61,1,1,1
2015,2,6,2,200,1,1,2
2015,2,6,2,14,1,1,1
2015,4,6,4,58,1,1,4
2015,5,6,5,92,1,1,3
2015,1,0,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,3,6,12,1,1,3
2015,1,6,1,14,1,1,1
2015,9,6,9,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,3,6,3,14,1,1,1
2015,2,3,5,18,2,1,2
2015,10,6,10,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,34,6,34,14,1,1,1
2015,5,6,5,14,1,1,1
2015,8,6,8,14,1,1,1
