Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2016-02-21,21,2,2016,2,1,6,1,14,1,1,1,Starvatio,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-20,20,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Aswan, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.285107,31.5204557
2016-02-19,19,2,2016,3,1,6,1,14,1,1,1,Drowning,"Rio Grande under the International Miguel Aleman-Roma Bridge, Starr County, Texas",La Tarde,1,Central America to US,Northern America,26.5475045,-98.8662899
2016-02-19,19,2,2016,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks near Coatzacoalcos, Veracruz, Mexico",Coatza Digital,1,Central America to US,Central America,18.2681566,-95.8969461
2016-02-19,19,2,2016,1,2,6,2,14,1,1,1,Drowning,off the coast of Siculiana in Western Sicily,Reuters,1,Central Mediterranea,Uncategorized,37.3088392,13.3228249
2016-02-19,19,2,2016,2,1,6,1,14,1,1,1,Suffocatio,"Melawi, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.7651701,30.6654423
2016-02-19,19,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Khartoum, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,15.5015341,32.5025561
2016-02-18,18,2,2016,3,4,6,4,14,1,4,1,Vehicle Accide,"Highway 59 in Webb County, Texas",Webb County Office of the Medical Examiner- Dr Corinne Ster,5,Central America to US,Northern America,27.7155889,-99.6987461
2016-02-18,18,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"In Sahara Desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,19.428332,25.9062885
2016-02-18,18,2,2016,6,1,6,1,14,1,1,1,"Starvation, Dehydratio","Karora, Eritrea",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,17.7030092,38.350793
2016-02-18,18,2,2016,5,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Vwawa, Tanzania",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,-9.102866,32.915691
2016-02-18,18,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Kessela, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,15.4558144,36.3787571
2016-02-18,18,2,2016,2,6,6,6,14,1,1,1,Sickness and lack of access to medicines,"Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,30.2723743,19.0741052
2016-02-18,18,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Shandi, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,16.6797294,33.4297655
2016-02-18,18,2,2016,2,25,6,25,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-18,18,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Qadarif, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,14.0316722,35.3417723
2016-02-18,18,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Kufrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-18,18,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Kessela, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,15.4558144,36.3787571
2016-02-18,18,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.0295078,14.3890835
2016-02-18,18,2,2016,6,6,6,6,14,1,1,1,Sickness and lack of access to medicines,"Bahardar, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,11.5806779,37.3103831
2016-02-18,18,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-18,18,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Madani, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,14.3830752,33.4611726
2016-02-18,18,2,2016,2,8,6,8,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-17,17,2,2016,1,1,6,1,2,1,1,1,Hypothermia,"arrived at Agia Ermioni, Chios, Greece",Greek Reporter,1,Eastern Mediterranea,Uncategorized,38.3424941,25.8805817
2016-02-17,17,2,2016,8,1,1,1,12,1,1,1,Drowning,"between Cuba and Man Key, Key West, Florida USA","Sun Sentinel, Miami Herald",3,Caribbea,Caribbea,23.8669878,-82.297972
2016-02-17,17,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,4,Western Asia,Western Asia,36.5044741,40.708528
2016-02-17,17,2,2016,9,1,6,1,14,1,1,1,Sho,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,4,Western Asia,Western Asia,36.5044741,40.708528
2016-02-17,17,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,4,Western Asia,Western Asia,36.5044741,40.708528
2016-02-17,17,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Syrian/Turkish border near Qamishli, Al Hasaka, Syria",Action Group for Palestinians of Syria,4,Western Asia,Western Asia,36.5044741,40.708528
2016-02-17,17,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Las'anod, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,8.476128,47.3474798
2016-02-17,17,2,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Gondor, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,12.601127,37.4389385
2016-02-17,17,2,2016,6,1,6,1,14,1,1,1,Vehicle Accide,"Jigjiga, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,9.3521044,42.7773712
2016-02-17,17,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.0295078,14.3890835
2016-02-17,17,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-02-17,17,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Tarhunah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,32.4344591,13.6064364
2016-02-17,17,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-02-17,17,2,2016,2,6,6,6,14,1,1,1,Sickness and lack of access to medicines,"Ajdabiya, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,30.2723743,19.0741052
2016-02-17,17,2,2016,2,5,6,5,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-02-16,16,2,2016,1,1,6,1,14,1,1,1,Unknown,"Found dead in a boat in Algeciras, Cádiz, Spain, that had crossed the Strait of Gibraltar",Spanish Ministry of the Interior via IOM Spai,5,Western Mediterranea,Uncategorized,35.9444187,-5.7946088
2016-02-16,16,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Sahara Desert, near Aswan, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,21.9067695,30.8222529
2016-02-15,15,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border near Aleppo province,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.681792,36.623154
2016-02-15,15,2,2016,7,1,6,1,11,1,1,1,Vehicle Accide,"On highway 150, between Tecamachalco and Tlacotepec de Benito Juarez, Puebla, Mexico",Imagen Poblana,1,Central America to US,Central America,18.6751351,-97.6442494
2016-02-14,14,2,2016,7,1,6,1,14,1,1,1,Found dead next to train tracks,"rain tracks near Cosoleacaque, Mexico",Central Noticias,1,Central America to US,Central America,17.9990238,-94.6460713
2016-02-14,14,2,2016,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks in Minatitlan, Mexico",Impacto Del Sur,1,Central America to US,Central America,18.0130692,-94.5394339
2016-12-02,12,2,2016,10,1,6,1,14,1,1,1,Electrocution on railway,"Subotica, Serbia, en route to Hungary","Blog de veille sur les droits de l'Homme en Serbie, B92",3,Western Balkans,Southern Europe,46.0910615,19.6369739
2016-12-02,12,2,2016,2,1,28,28,14,1,1,1,Presumed drowning,"Between Bountilla, Mauritania and Gran Canaria, Spai",Asociación Pro Derechos Humanos de Andalucía,3,Western Africa,Uncategorized,26.9455294,-15.5943805
2016-12-02,12,2,2016,8,1,25,26,4,1,1,1,Presumed drowning,"In the Atlantic, taken to puerto de Bahía las Minas,  Colón, Panamá",Ciber Cuba,3,Caribbea,Caribbea,9.3247093,-80.0103955
2016-12-02,12,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-12-02,12,2,2016,2,6,6,6,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-12-02,12,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Qadarif, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,14.0316722,35.3417723
2016-12-02,12,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-11-02,11,2,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Gondor, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,12.601127,37.4389385
2016-11-02,11,2,2016,2,7,6,7,14,1,1,1,Sickness and lack of access to medicines,"Kurfrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-11-02,11,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-11-02,11,2,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.0295078,14.3890835
2016-10-02,10,2,2016,10,1,6,1,14,1,1,1,Drowning,"ear Calais, France",Le Figaro.fr,1,Western Europe,Western Europe,50.9518803,1.8339367
2016-10-02,10,2,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Near Berbera, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,10.4325373,44.9946415
2016-09-02,9,2,2016,3,1,6,1,14,1,1,1,Drowning,"Rio Grande in Brownsville, Cameron County, Texas",Desaparecidos y sin reclamar en la frontera via Facebook,4,Central America to US,Northern America,26.1490665,-97.6906534
2016-09-02,9,2,2016,3,11,6,11,14,1,1,1,Mixed,Webb County Medical Examiner jurisdictio,Webb County Office of the Medical Examiner- Dr Corinne Ster,5,Central America to US,Northern America,27.7150873,-99.9079019
2016-08-02,8,2,2016,9,1,6,1,14,1,1,1,"Exposure, Malnutritio","Hatay, Turkey",Hurriyet Daily News,1,Western Asia,Western Asia,36.4063914,35.8706719
2016-08-02,8,2,2016,1,27,9,36,4,1,1,11,Drowning,"Near Lesvos, Greece",The Guardia,3,Eastern Mediterranea,Uncategorized,39.1892618,26.1306061
2016-08-02,8,2,2016,7,1,6,1,14,1,1,1,Fall from trai,"Corner of Cristobal Colon and Derecho de Via in Miguel Hidalgo, Mexico City, Mexico",Impacto Del Sur,1,Central America to US,Central America,19.32324,-99.2646092
2016-07-02,7,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border near Al-Raqqah,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.4505102,38.9514836
2016-07-02,7,2,2016,12,1,6,1,14,1,1,1,Killed by landmine blas,Peru-Chilean border,Fox News,1,South America,South America,-18.230406743986002,-70.26905825
2016-07-02,7,2,2016,2,1,56,56,14,1,1,1,Sickness and lack of access to medicines,"Between Dakhla, Western Sahara and Gran Canaria, Spai",Asociación Pro Derechos Humanos de Andalucía,3,Uncategorized,Uncategorized,26.9455294,-15.5943805
2016-07-02,7,2,2016,10,2,6,2,14,1,1,1,Hypothermia,"Malko Tarnovo, in southeastern Bulgaria close to the border with Turkey",AFP and Sofia News Agency,3,Western Balkans,Eastern Europe,41.9358352,27.5293458
2016-07-02,7,2,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Jigjiga, Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,9.3521044,42.7773712
2016-07-02,7,2,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Las'anod, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,8.476128,47.3474798
2016-07-02,7,2,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-07-02,7,2,2016,2,7,6,7,14,1,1,1,Sickness and lack of access to medicines,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.0295078,14.3890835
2016-07-02,7,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Qadarif, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,14.0316722,35.3417723
2016-07-02,7,2,2016,2,4,6,4,14,1,1,1,Sickness and lack of access to medicines,"Kufrah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.2488413,19.7242161
2016-06-02,6,2,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sinai, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,29.5056218,33.9750461
2016-05-02,5,2,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border near Abu Zallah village,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.751815,38.6564204
2016-05-02,5,2,2016,1,1,6,1,14,1,1,1,Drowning,"Punta de Tarifa, Spai",Asociación Pro Derechos Humanos de Andalucía,3,Western Mediterranea,Uncategorized,36.0034318,-5.6173509
2016-05-02,5,2,2016,2,5,6,5,14,1,1,1,Sickness and lack of access to medicines,"Qalabat, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,13.9731737,35.3431691
2016-02-02,2,2,2016,1,9,6,9,13,1,1,2,Drowning,"off the coast of Seferihisar, Izmir, Turkey. Possibly en route to Samos, Greece",Hurriyet Daily News,1,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-02-02,2,2,2016,2,7,6,7,42,1,7,1,Drowning,"Between Dakhla, Western Sahara and Gran Canaria, Spai",20 Minutos,1,Uncategorized,Uncategorized,26.9455294,-15.5943805
2016-01-02,1,2,2016,8,1,6,1,14,1,1,1,Murdered,"Restauración municipality, Municipal de Copey, Dajabon, Dominican Republic",7 días,1,Caribbea,Caribbea,19.5488493,-71.721089
2016-01-02,1,2,2016,6,20,6,20,14,1,1,1,Drowning,Straits of Yeme,UNHCR,4,Horn Africa to Yeme,Eastern Africa,12.4339758,46.4207584
2016-01-02,1,2,2016,5,1,6,1,14,1,1,1,Vehicle Accide,"Unspecified location, Niger",MHub,2,Western Africa,Western Africa,17.5970637,5.7414968
2016-01-02,1,2,2016,2,2,6,2,14,1,1,1,Dehydratio,"Sahara Desert, between Guerrara, Algeria and Subratha, Libya",MHub,2,Northern Africa,Northern Africa,27.3499391,9.7366729
2016-01-31,31,1,2016,1,3,6,3,12,1,1,2,Drowning,"off the coast of Didim, Aydin, Turkey, en route to Farmakonisi, Greece",Hurriyet Daily News,1,Eastern Mediterranea,Uncategorized,37.348625,27.2742309
2016-01-31,31,1,2016,3,1,6,1,3,1,1,1,Vehicle Accide,"Mines Road, Laredo, Webb County, Texas",Webb County Office of the Medical Examiner- Dr Corinne Ster,5,Central America to US,Northern America,27.7155889,-99.6987461
2016-01-31,31,1,2016,3,1,6,1,14,1,1,1,Skeletal remains,Pima County Jurisdictio,Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9652036,-113.0118945
2016-01-31,31,1,2016,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, Brownsville, Cameron County, Texas, USA",Hoy Tamaulipas,1,Central America to US,Northern America,25.899013473544997,-97.49821186065701
2016-01-30,30,1,2016,1,39,6,39,75,1,1,5,Drowning,"between Ayvacik, Canakkale, Turkey and Lesvos, Greece",Turkish Coast Guard via IOM Athens. AFP and the Guardia,5,Eastern Mediterranea,Uncategorized,39.2893824,26.4734281
2016-01-30,30,1,2016,7,1,6,1,14,1,1,1,Murdered,"Near Mexico City, Mexico",vTV,1,Central America to US,Central America,19.39068,-99.2836983
2016-01-30,30,1,2016,1,6,64,70,50,1,1,1,Drowning,Channel of Sicily,IOM Italy,4,Central Mediterranea,Uncategorized,37.0930737,11.8610189
2016-01-30,30,1,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Awel Abass, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,30.0676826,31.3357115
2016-01-29,29,1,2016,3,1,6,1,14,1,1,1,Hypothermia,"Rio Grande at Piedras Negras, Cohauila, Mexico",Radio Zacalo,1,Central America to US,Central America,28.6901482,-100.5676516
2016-01-29,29,1,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border near Al-Raqqah governate,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.4505102,38.9514836
2016-01-29,29,1,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Near Atbara, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,17.6922271,33.9762492
2016-01-29,29,1,2016,2,3,6,3,14,1,1,1,Sickness and lack of access to medicines,"Sudan border with Aswan, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,21.9067695,30.8222529
2016-01-29,29,1,2016,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Aswan, Egyp",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,23.285107,31.5204557
2016-01-28,28,1,2016,9,1,6,1,14,1,1,1,"Exposure, Hypothermia","Van province, Turkey",Daily Sabah,1,Western Asia,Western Asia,38.5504106,43.0269097
2016-01-28,28,1,2016,1,26,15,41,9,6,10,10,Drowning,"off the coast of Samos, Greece",Hellenic Coast Guard,1,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-01-27,27,1,2016,1,7,6,7,2,2,4,2,Drowning,"off the northern coast of Kos, Greece",Hellenic Coast Guard,5,Eastern Mediterranea,Uncategorized,36.9266003,27.2641593
2016-01-27,27,1,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.4614791,37.1258349
2016-01-26,26,1,2016,1,5,16,21,1,1,1,3,Drowning,"Didim district, Aydin, Turkey, likely en route to Farmakonissi",Hurriyet Daily News,1,Eastern Mediterranea,Uncategorized,37.376094,27.264729
2016-01-26,26,1,2016,4,23,12,35,14,9,4,1,Drowning,"beach near Bandar Penawar, Malaysia",SBS,1,South-eastern Asia,South-eastern Asia,1.5296432,104.2036279
2016-01-26,26,1,2016,1,1,6,1,14,1,1,1,Drowning,"Glyfo beach, Samos, Greece",Hellenic Coast Guard,5,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-01-26,26,1,2016,3,1,6,1,14,1,1,1,Skeletal remains,Pima County Jurisdictio,Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9652036,-113.0118945
2016-01-26,26,1,2016,3,1,6,1,14,1,1,1,Skeletal remains,Pima County Jurisdictio,Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9652036,-113.0118945
2016-01-25,25,1,2016,10,1,6,1,2,1,1,1,Murdered,"Kilkis, Greece near border with FYRO Macedonia","Greek Reporter, AFP",3,Western Balkans,Southern Europe,41.0023608,22.8418114
2016-01-25,25,1,2016,9,1,6,1,5,1,1,1,Hypothermia,"Masnaa, Lebano",Gulf News,1,Western Asia,Western Asia,33.6982498,35.9135246
2016-01-25,25,1,2016,9,3,6,3,14,1,1,1,Hypothermia,Lebano,Gulf News,1,Western Asia,Western Asia,33.8722894,35.3033072
2016-01-25,25,1,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Syrian/Turkish border near Derbassiyeh, Al-Hasakah province",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,37.04621,40.5417725
2016-01-25,25,1,2016,1,2,6,2,14,1,2,1,Drowning,"Samos, Greece",Hellenic Coast Guard,5,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-01-25,25,1,2016,3,1,6,1,14,1,1,1,Skeletal remains,Pima County Jurisdictio,Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9652036,-113.0118945
2016-01-25,25,1,2016,1,1,6,1,14,1,1,1,Unknown,Brought with many migrants to Sicily,IOM Rome,4,Central Mediterranea,Uncategorized,37.3439399,14.1114399
2016-01-25,25,1,2016,1,1,6,1,700,1,1,1,Unknown,Between North Africa and Sicily,IOM Italy,4,Central Mediterranea,Uncategorized,34.9627329,13.8863347
2016-01-24,24,1,2016,1,1,6,1,14,1,1,1,Drowning,"Found on Lesvos Island, Greece. Kagia beach",Hellenic Coast Guard via IOM Athens,5,Eastern Mediterranea,Uncategorized,37.596379,26.424823
2016-01-24,24,1,2016,1,1,6,1,14,1,1,1,Drowning,"Skyros island, Greece",Hellenic Coast Guard,5,Eastern Mediterranea,Uncategorized,38.8729316,24.4179892
2016-01-24,24,1,2016,1,2,6,2,14,1,1,1,Drowning,"ortheast of Samos, Greece",Hellenic Coast Guard,5,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-01-23,23,1,2016,10,1,6,1,14,1,1,1,"Fall from truck, Crushed","Ancona, Italy. Had likely come on ferry from Greece",Corriere Adriatico,1,Southern Europe,Southern Europe,43.6178474,13.4913043
2016-01-23,23,1,2016,1,1,6,1,14,1,1,1,Drowning,"Found off the north coast of Samos Island, Greece",Hellenic Coast Guard via IOM Athens,5,Eastern Mediterranea,Uncategorized,37.7245805,26.6778283
2016-01-23,23,1,2016,10,1,6,1,14,1,1,1,Hypothermia,"Western Bulgaria, near Serbian border",UNHCR,4,Western Balkans,Eastern Europe,42.8472657,22.7585621
2016-01-21,21,1,2016,3,1,6,1,14,1,1,1,Drowning,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America to US,Central America,27.4531416,-99.6148525
2016-01-21,21,1,2016,1,13,11,24,25,4,1,5,Drowning,"Off Turkey's western Foça coast, Izmir. En route to Lesvos, Greece",Today's Zama,3,Eastern Mediterranea,Uncategorized,38.7042006,26.5939167
2016-01-21,21,1,2016,8,1,6,1,5,1,1,1,Sho,"10 km from Palmilla, Dominican Republic",Avance 24 en Linea,1,Caribbea,Caribbea,18.8376763,-70.8791497
2016-01-21,21,1,2016,9,1,6,1,14,1,1,1,Sickness and lack of access to medicines,Syrian/Turkish border near northern Deir Ezzor province,Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.7188825,39.4889524
2016-01-21,21,1,2016,1,8,6,8,41,2,1,6,Drowning,"Farmakonisi, Greece",Hellenic Coast Guard via IOM Greece,5,Eastern Mediterranea,Uncategorized,37.2910973,27.073482
2016-01-21,21,1,2016,1,35,9,44,26,17,7,11,Drowning,"Kalymnos, Greece",Hellenic Coast Guard via IOM Greece,5,Eastern Mediterranea,Uncategorized,36.9505901,26.9752129
2016-01-21,21,1,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"10 hours walking from Senafe, Eritrea, towards the border with Ethiopia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,14.6586717,39.402114
2016-01-20,20,1,2016,1,2,6,2,46,1,1,1,Hypothermia,"between Turkey and Lesvos, Greece","Xinhua, The Pappas Pos",3,Eastern Mediterranea,Uncategorized,39.2825019,26.4139869
2016-01-20,20,1,2016,5,14,6,14,1,1,1,1,Vehicle Accide,"ear Mokopane, Limpopo Province, South Africa","UBAlert, Chronicle.co.zw",3,Southern Africa,Southern Africa,-24.1813121,28.9764104
2016-01-20,20,1,2016,7,1,6,1,14,1,1,1,Vehicle Accide,"Villahermosa, Tabasco, Mexico",Dario Prese,1,Central America to US,Central America,17.9927635,-92.9881407
2016-01-20,20,1,2016,10,1,6,1,14,1,1,1,Hypothermia,"Western Bulgaria, near Serbian border",UNHCR,4,Western Balkans,Eastern Europe,42.8472657,22.7585621
2016-01-20,20,1,2016,6,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Near Garowe, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,8.4066579,48.4713577
2016-01-20,20,1,2016,6,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Near Hargeysa, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,Eastern Africa,9.5488981,44.0293346
2016-01-20,20,1,2016,2,2,6,2,14,1,1,1,Sickness and lack of access to medicines,"Near Kessela, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,15.4558144,36.3787571
