Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2019-09-17,17,9,2019,1,3,4,7,9,1,1,1,Drowning,"Off the coast of Sfax, Tunisia",IOM Tunisia,4,Central Mediterranea,Uncategorized,34.589760230843,10.937168074215
2019-09-17,17,9,2019,1,1,6,1,14,1,1,1,Drowning,"Body recovered on Plage Bouyafar, near Nador, Morocco (Alboran sea)",Association Marocaine des Droits Humains - Section Nador,4,Western Mediterranea,Uncategorized,35.247147751476,-3.1647307546590002
2019-09-16,16,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Donna-Río Bravo International Bridge, Tamaulipas, Mexico","El Mañana, Vox Pópuli",3,Central America,Central America,26.066558587779003,-98.076219015077
2019-09-14,14,9,2019,8,3,6,3,11,1,1,1,Drowning,"Off the coast of Playa Martinica, Aguadilla, Puerto Rico",US Border Patrol,5,Caribbea,Caribbea,18.513426343887,-67.150985613449
2019-09-14,14,9,2019,3,2,6,2,14,1,2,1,Drowning,"Río Bravo, near Isla del Mudo, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel 12",3,Central America,Central America,28.727691607932,-100.50805981854
2019-09-14,14,9,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.962501412677003,-98.29321136679701
2019-09-13,13,9,2019,1,1,4,4,1,1,1,1,Presumed drowing,"15 miles off the coast of Marettimo, Sicily, Italy",IOM Italy,4,Central Mediterranea,Uncategorized,37.949458912013995,11.983127132731
2019-09-13,13,9,2019,3,1,6,1,14,1,1,1,Dehydratio,"Ranch southwest of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.975419020731,-98.236322802092
2019-09-13,13,9,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.932000971237997,-98.22622537594499
2019-12-09,12,9,2019,3,1,6,1,14,1,1,1,Mummified remains,"Pima Couny jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.6549405,-112.0884172
2019-12-09,12,9,2019,10,1,6,1,8,1,1,1,Vehicle Accide,"Egnatia highway, near Komotini, Greece","Ekathimerini, Voria, IOM Greece",4,Southern Europe,Southern Europe,41.094866935213,25.406005057255
2019-11-09,11,9,2019,3,2,6,2,35,1,1,1,Drowning,"Río Bravo, near San Felipe Creek, Del Rio, Val Verde County, Texas","CNN, Univisión, Telemundo",3,Northern America,Northern America,29.326039842099,-100.91930745989
2019-09-09,9,9,2019,9,1,6,1,14,1,1,1,Drowning,"Evros/Meriç river, near Yenikadın, Edirne, Turkey","CNN Türk, Hurriye",3,Western Asia,Western Asia,41.686784185244996,26.43776578312
2019-07-09,7,9,2019,10,1,6,1,14,1,1,1,Head injury,"Body recovered in Dora river, near Bardonecchia, Piamonte, Italy","Il Corriere de la Sera, La Reppublica",3,Italy to France,Southern Europe,45.079408592493,6.700213388391
2019-07-09,7,9,2019,2,1,6,1,14,1,1,1,Violence,"Bolingo forest, near Nador, Morocco","Association Marocaine des Droits Humains - Section Nador, Caminando Fronteras",4,Northern Africa,Northern Africa,35.204391764075,-2.9251098632810004
2019-06-09,6,9,2019,3,1,6,1,14,1,1,1,Sickness,"Hospital in San Antonio, Texas after being rescued from the Río Bravo near Eagle Pass, Maverick County, Texas, USA",US Border Patrol,5,Northern America,Northern America,29.4241219,-98.4936282
2019-06-09,6,9,2019,1,1,6,1,13,1,1,1,Sickness and lack of access to medicine,"Samos hospital shortly after being rescued off the coast of Kokkari, Samos, Greece",IOM Greece,4,Eastern Mediterranea,Uncategorized,37.7547857,26.9777701
2019-05-09,5,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near poblado Venecia, Reynosa, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana",3,Central America,Central America,26.095001305916,-98.273011631016
2019-05-09,5,9,2019,1,1,4,4,14,1,4,1,Presumed drowing,"Off the coast of Bouyafar, Morocco (Alboran Sea)","El Faro de Ceuta, EFE, Association Marocaine des Droits Humains - Section Nador",4,Western Mediterranea,Uncategorized,35.837725415025,-3.3560838481559996
2019-04-09,4,9,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Eagle Pass, Maverick County, Texas, USA",La Rancherita del Aire,1,Northern America,Northern America,28.719389776553,-100.50712416702
2019-03-09,3,9,2019,1,1,15,15,2,1,1,1,Drowning,"40 miles south-east of Cabo de Gata, Almería, Spai","Salvamento Marítimo via eldiario.es, La Voz de Almería, El Wata",3,Western Mediterranea,Uncategorized,36.592468317565,-1.720397814063
2019-03-09,3,9,2019,4,1,6,1,14,1,1,1,Killed by landmine blas,"Myanmar-Bangladesh border, near Gundum border tow","AFP, BDnews24",3,South-eastern Asia,South-eastern Asia,21.191071718689,92.18383339428699
2019-02-09,2,9,2019,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks near Santa Ana Chiautempan, Tlaxcala, Mexico",Puebla Roja,1,Central America,Central America,19.314037774345,-98.190767327239
2019-02-09,2,9,2019,9,1,6,1,14,1,1,1,Drowning,"Irrigation canal in Yenikarpuzlu, İpsala, Edirne, Turkey","EASO Social Media Monitoring Reports, Hurriyet, CNN Türk",3,Western Asia,Western Asia,40.825420088133995,26.292042608479
2019-01-09,1,9,2019,1,1,6,1,14,1,1,1,Cardiac arres,"Port of Ceuta, Spai",El Faro de Ceuta,3,Western Mediterranea,Uncategorized,35.8933505,-5.3209666
2019-01-09,1,9,2019,2,11,6,11,3,1,1,1,Vehicle Accide,"400km north of Bordj Badji Mokhtar, en route to Reggane, Adrar, Algeria","El Watan, Réflexion, ALG24",3,Northern Africa,Northern Africa,24.404460353983,-0.316673172573
2019-01-09,1,9,2019,3,1,6,1,14,1,1,1,Drowning,"American Canal near El Paso, El Paso County, Texas, USA",US Border Patrol,5,Northern America,Northern America,31.751634695944,-106.49251092461
2019-08-31,31,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Northern America,Northern America,31.5455399,-111.3072939
2019-08-29,29,8,2019,2,1,22,23,9,1,1,1,Drowning,"65km north of Dakhla, Western Sahara Territory / Morocco - en route to the Canary Islands","Alarm Phone, Dakhla News, Hespress, Alyaoum 24",4,Western Africa,Western Africa,24.781866727395002,-16.246628178823
2019-08-28,28,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near congregación Los Rodríguez, Piedras Negras, Coahuila, Mexico","Zócalo, SuperChannel12",3,Central America,Central America,28.720081977571997,-100.50813085528
2019-08-28,28,8,2019,1,1,7,7,100,1,5,1,Presumed drowning,Unspecified location off the coast of Libya,"Mediterranea Saving Humans, IOM Italy",4,Central Mediterranea,Uncategorized,34.074975531751,14.804481898594
2019-08-28,28,8,2019,3,1,6,1,14,1,1,1,Dehydratio,"Ranch in Dimmit County, Texas, USA","SuperChannel12, Zócalo",3,Northern America,Northern America,28.4116514,-99.8124935
2019-08-28,28,8,2019,12,1,6,1,14,1,1,1,Suicide,"Zámbiza bridge, north of Quito, Ecuador, while en route to Guayaquil, Ecuador","El Universo, Metro Ecuador",3,South America,South America,-0.1459438,-78.4452592
2019-08-27,27,8,2019,1,11,29,40,64,1,2,2,Presumed drowing,"Off the coast of Al-Khums, Libya","IOM Libya, MSF, UNHCR",4,Central Mediterranea,Uncategorized,33.186025070050995,14.631463370694
2019-08-27,27,8,2019,7,1,6,1,14,1,1,1,Unknown,"Ciudad Nicolás Romero, State of Mexico, Mexico","La Tribuna, Abriendo Brecha TV",3,Central America,Central America,19.6162033,-99.3001181
2019-08-27,27,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,5,Northern America,Northern America,31.9698537,-111.4275888
2019-08-27,27,8,2019,1,1,6,1,18,1,1,1,Presumed drowning,"Off the coast of Sfax, Tunisia","Tunis Webdo, Xinhua",3,Central Mediterranea,Uncategorized,34.794857389741004,11.066638902114
2019-08-26,26,8,2019,10,6,6,6,10,1,6,1,Vehicle Accide,"Near Loutra, Alexandroupoli, Greece",IOM Greece,4,Southern Europe,Southern Europe,40.8627948,26.0336872
2019-08-26,26,8,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.586669,-111.7536372
2019-08-25,25,8,2019,10,1,6,1,11,1,1,1,Vehicle Accide,"Kupa River, near Slatina Pokupska, Croatia","Police Administration Sisak-Moslavina County, Croatian National Radio Television (HRT) via IOM Croatia",4,Southern Europe,Southern Europe,45.482029519750995,16.004001166565
2019-08-24,24,8,2019,3,1,6,1,1,1,1,1,Dehydratio,"Ranch in Dimmit County, Texas, USA","Zócalo, Breitbar",3,Northern America,Northern America,28.4116514,-99.8124935
2019-08-24,24,8,2019,3,1,6,1,14,1,1,1,Presumed drowning,"Río Bravo, near Mission, Hidalgo County, Texas, USA",US Border Patrol,5,Northern America,Northern America,26.166658691056,-98.337147645366
2019-08-24,24,8,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch in Kenedy County, Texas, USA",US Border Patrol,5,Northern America,Northern America,26.8697147,-97.6982272
2019-08-24,24,8,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.340439,-111.7782682
2019-08-23,23,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico",Lider,3,Central America,Central America,27.596688407404,-99.537284533452
2019-08-23,23,8,2019,3,1,6,1,1,1,1,1,Drowning,"Río Bravo, near Piedras Negras, Coahuila, Mexico",Tiempo,3,Central America,Central America,28.693672861798,-100.51052179774
2019-08-23,23,8,2019,10,1,6,1,13,1,1,1,Vehicle Accide,"Near Negotino, North Macedonia, on the highway from Gevgelija to Skopje",IOM North Macedonia,4,Southern Europe,Southern Europe,41.502661204569,22.090889878296
2019-08-23,23,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.6056561,-111.5229817
2019-08-22,22,8,2019,3,1,6,1,14,1,1,1,Presumed drowing,"Río Bravo, near Havana, Hidalgo County, Texas, USA",US Border Patrol,5,Northern America,Northern America,26.226310823479,-98.51663381858101
2019-08-22,22,8,2019,1,1,3,4,7,1,1,1,Drowning,"Off the coast of La Línea de la Concepción, Cádiz, Spain - the remains of one man recovered near Punta Europa, Gibraltar","Canal Sur, El Foro de Ceuta, La Voz del Sur, ABC",3,Western Mediterranea,Uncategorized,36.155426016789,-5.296389510909
2019-08-22,22,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-08-21,21,8,2019,3,2,6,2,14,1,1,1,Skeletal remains,"Ranch south of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, near Encino, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,26.982052175409002,-98.09652560837799
2019-08-20,20,8,2019,3,1,1,2,14,1,1,1,Presumed drowning,"Río Bravo near Mudo island in Piedras Negras, Coahuila, Mexico","US Border Patrol, Zócalo, GMN Noticias",5,Central America to US,Central America,28.710228241929997,-100.50974047024
2019-08-20,20,8,2019,3,1,6,1,14,1,1,1,Unknown,"Ranch near El Saucito, Coahuila, Mexico","Zocalo, Super Channel 12",3,Central America to US,Central America,28.5130277,-100.4550796
2019-08-20,20,8,2019,3,1,6,1,14,1,1,1,Dehydratio,"Ranch north of the Falfurrias Border Patrol Checkpoint on U.S. Highway 281, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,1,Northern America,Northern America,27.049847012245998,-98.168535616548
2019-08-19,19,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near El Saucito, Guerrero, Coahuila, Mexico","Zocalo, Rancherita del Aire",3,Central America to US,Central America,28.532276939604998,-100.40225081124001
2019-08-19,19,8,2019,9,5,6,5,11,1,3,1,Vehicle Accide,"Unspecified roadway in Acıgöl, Nevsehir, Turkey",IOM Turkey,4,Western Asia,Western Asia,38.550109,34.508887
2019-08-18,18,8,2019,4,10,6,10,14,6,4,1,Vehicle Accide,"Wang Sombun District, Sa Kaeo Province, Thailand","IOM Thailand, Khaosodenglish",4,South-eastern Asia,South-eastern Asia,13.3888199,102.1175404
2019-08-18,18,8,2019,10,1,6,1,14,1,1,1,Presumed drowing,"Body recovered near Zeebrugge Port, Belgium",Ouest France,3,Calais to United Kingdom,Uncategorized,51.355731038751,3.116213492969
2019-08-17,17,8,2019,1,1,1,2,278,1,2,1,Drowning,"Off the coast of either Al-Khums, Al-Zawiya or Tripoli, Libya","IOM Libya, Libya Observer",4,Central Mediterranea,Uncategorized,33.140843540489996,12.570127875
2019-08-17,17,8,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1276869,-112.1210016
2019-08-15,15,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.3957613,-110.1879106
2019-08-14,14,8,2019,3,1,6,1,14,1,1,1,Probable hyperthermia,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0577019,-112.1430215
2019-08-13,13,8,2019,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near Presidentes, Piedras Negras, Coahuila, Mexico","La Rancherita der Aire, El Zocalo",3,Central America,Central America,28.679713428365,-100.50712472794001
2019-08-13,13,8,2019,1,1,13,14,1,1,1,1,Unknown,Unspecified location in the Maltese SAR zone in the Mediterranea,IOM Malta,4,Central Mediterranea,Uncategorized,35.084140361616996,15.850744875
2019-08-13,13,8,2019,3,1,6,1,14,1,1,1,Unknown,"Unspecified ranch in Brooks County, Texas near U.S. Highway 281 Border Patrol checkpoi",Breitbart Texas,1,Northern America,Northern America,26.800871463193,-98.10128216096099
2019-12-08,12,8,2019,7,1,6,1,14,1,1,1,Sho,"Kilometer 73 of highway near Guastoya, El Progreso, Guatemala","El Heraldo, La Prensa, Notibomba",3,Central America,Central America,14.854359535137,-90.090189456836
2019-12-08,12,8,2019,3,1,6,1,14,1,1,1,Unknown,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1108622,-111.6648486
2019-12-08,12,8,2019,3,1,6,1,14,1,1,1,Skeletal remains,"Pima County jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.1244013,-111.7223575
2019-11-08,11,8,2019,3,3,6,3,14,2,1,1,Suffocatio,"San Diego County, California, USA","NBC, Kusi News",3,Northern America,Northern America,32.6848591,-117.0445837
2019-10-08,10,8,2019,3,1,6,1,14,1,1,1,Unknown,"Near La Grulla, Starr County, Texas, USA",AP,3,Northern America,Northern America,26.257108089834,-98.63693243280001
